image_path,label
NEU-DET/train/images/pitted_surface/pitted_surface_171.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_203.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_35.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_10.jpg,pitted_surface
NEU-DET/train/images/patches/patches_194.jpg,patches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_79.jpg,rolled-in_scale
NEU-DET/train/images/pitted_surface/pitted_surface_120.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_47.jpg,pitted_surface
NEU-DET/train/images/crazing/crazing_19.jpg,crazing
NEU-DET/train/images/crazing/crazing_128.jpg,crazing
NEU-DET/train/images/inclusion/inclusion_240.jpg,inclusion
NEU-DET/train/images/inclusion/inclusion_166.jpg,inclusion
NEU-DET/train/images/crazing/crazing_75.jpg,crazing
NEU-DET/train/images/inclusion/inclusion_227.jpg,inclusion
NEU-DET/train/images/scratches/scratches_59.jpg,scratches
NEU-DET/train/images/inclusion/inclusion_22.jpg,inclusion
NEU-DET/train/images/scratches/scratches_232.jpg,scratches
NEU-DET/train/images/scratches/scratches_74.jpg,scratches
NEU-DET/train/images/scratches/scratches_225.jpg,scratches
NEU-DET/train/images/inclusion/inclusion_226.jpg,inclusion
NEU-DET/train/images/scratches/scratches_186.jpg,scratches
NEU-DET/train/images/inclusion/inclusion_84.jpg,inclusion
NEU-DET/train/images/patches/patches_100.jpg,patches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_230.jpg,rolled-in_scale
NEU-DET/train/images/pitted_surface/pitted_surface_22.jpg,pitted_surface
NEU-DET/train/images/inclusion/inclusion_212.jpg,inclusion
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_133.jpg,rolled-in_scale
NEU-DET/train/images/crazing/crazing_196.jpg,crazing
NEU-DET/train/images/crazing/crazing_46.jpg,crazing
NEU-DET/train/images/patches/patches_81.jpg,patches
NEU-DET/train/images/inclusion/inclusion_51.jpg,inclusion
NEU-DET/train/images/scratches/scratches_231.jpg,scratches
NEU-DET/train/images/inclusion/inclusion_76.jpg,inclusion
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_29.jpg,rolled-in_scale
NEU-DET/train/images/pitted_surface/pitted_surface_206.jpg,pitted_surface
NEU-DET/train/images/patches/patches_239.jpg,patches
NEU-DET/train/images/pitted_surface/pitted_surface_18.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_30.jpg,pitted_surface
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_90.jpg,rolled-in_scale
NEU-DET/train/images/crazing/crazing_13.jpg,crazing
NEU-DET/train/images/patches/patches_162.jpg,patches
NEU-DET/train/images/patches/patches_103.jpg,patches
NEU-DET/train/images/crazing/crazing_189.jpg,crazing
NEU-DET/train/images/pitted_surface/pitted_surface_137.jpg,pitted_surface
NEU-DET/train/images/patches/patches_203.jpg,patches
NEU-DET/train/images/crazing/crazing_107.jpg,crazing
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_178.jpg,rolled-in_scale
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_8.jpg,rolled-in_scale
NEU-DET/train/images/crazing/crazing_228.jpg,crazing
NEU-DET/train/images/crazing/crazing_132.jpg,crazing
NEU-DET/train/images/patches/patches_209.jpg,patches
NEU-DET/train/images/pitted_surface/pitted_surface_167.jpg,pitted_surface
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_137.jpg,rolled-in_scale
NEU-DET/train/images/crazing/crazing_22.jpg,crazing
NEU-DET/train/images/scratches/scratches_121.jpg,scratches
NEU-DET/train/images/pitted_surface/pitted_surface_6.jpg,pitted_surface
NEU-DET/train/images/inclusion/inclusion_190.jpg,inclusion
NEU-DET/train/images/pitted_surface/pitted_surface_93.jpg,pitted_surface
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_211.jpg,rolled-in_scale
NEU-DET/train/images/crazing/crazing_219.jpg,crazing
NEU-DET/train/images/crazing/crazing_118.jpg,crazing
NEU-DET/train/images/scratches/scratches_38.jpg,scratches
NEU-DET/train/images/scratches/scratches_237.jpg,scratches
NEU-DET/train/images/patches/patches_145.jpg,patches
NEU-DET/train/images/crazing/crazing_171.jpg,crazing
NEU-DET/train/images/crazing/crazing_109.jpg,crazing
NEU-DET/train/images/crazing/crazing_218.jpg,crazing
NEU-DET/train/images/crazing/crazing_112.jpg,crazing
NEU-DET/train/images/patches/patches_137.jpg,patches
NEU-DET/train/images/scratches/scratches_94.jpg,scratches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_122.jpg,rolled-in_scale
NEU-DET/train/images/pitted_surface/pitted_surface_69.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_16.jpg,pitted_surface
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_69.jpg,rolled-in_scale
NEU-DET/train/images/pitted_surface/pitted_surface_46.jpg,pitted_surface
NEU-DET/train/images/scratches/scratches_146.jpg,scratches
NEU-DET/train/images/pitted_surface/pitted_surface_17.jpg,pitted_surface
NEU-DET/train/images/inclusion/inclusion_150.jpg,inclusion
NEU-DET/train/images/crazing/crazing_212.jpg,crazing
NEU-DET/train/images/crazing/crazing_49.jpg,crazing
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_107.jpg,rolled-in_scale
NEU-DET/train/images/inclusion/inclusion_167.jpg,inclusion
NEU-DET/train/images/inclusion/inclusion_29.jpg,inclusion
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_2.jpg,rolled-in_scale
NEU-DET/train/images/scratches/scratches_21.jpg,scratches
NEU-DET/train/images/inclusion/inclusion_196.jpg,inclusion
NEU-DET/train/images/inclusion/inclusion_219.jpg,inclusion
NEU-DET/train/images/patches/patches_188.jpg,patches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_132.jpg,rolled-in_scale
NEU-DET/train/images/scratches/scratches_53.jpg,scratches
NEU-DET/train/images/scratches/scratches_99.jpg,scratches
NEU-DET/train/images/pitted_surface/pitted_surface_135.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_165.jpg,pitted_surface
NEU-DET/train/images/pitted_surface/pitted_surface_115.jpg,pitted_surface
NEU-DET/train/images/scratches/scratches_195.jpg,scratches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_138.jpg,rolled-in_scale
NEU-DET/train/images/inclusion/inclusion_208.jpg,inclusion
NEU-DET/train/images/crazing/crazing_51.jpg,crazing
NEU-DET/train/images/crazing/crazing_143.jpg,crazing
NEU-DET/train/images/patches/patches_111.jpg,patches
NEU-DET/train/images/crazing/crazing_160.jpg,crazing
NEU-DET/train/images/patches/patches_101.jpg,patches
NEU-DET/train/images/crazing/crazing_56.jpg,crazing
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_88.jpg,rolled-in_scale
NEU-DET/train/images/pitted_surface/pitted_surface_132.jpg,pitted_surface
NEU-DET/train/images/inclusion/inclusion_70.jpg,inclusion
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_67.jpg,rolled-in_scale
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_80.jpg,rolled-in_scale
NEU-DET/train/images/patches/patches_218.jpg,patches
NEU-DET/train/images/patches/patches_26.jpg,patches
NEU-DET/train/images/patches/patches_166.jpg,patches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_75.jpg,rolled-in_scale
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_184.jpg,rolled-in_scale
NEU-DET/train/images/patches/patches_206.jpg,patches
NEU-DET/train/images/inclusion/inclusion_28.jpg,inclusion
NEU-DET/train/images/patches/patches_173.jpg,patches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_175.jpg,rolled-in_scale
NEU-DET/train/images/inclusion/inclusion_46.jpg,inclusion
NEU-DET/train/images/scratches/scratches_156.jpg,scratches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_49.jpg,rolled-in_scale
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_50.jpg,rolled-in_scale
NEU-DET/train/images/inclusion/inclusion_142.jpg,inclusion
NEU-DET/train/images/pitted_surface/pitted_surface_54.jpg,pitted_surface
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_102.jpg,rolled-in_scale
NEU-DET/train/images/pitted_surface/pitted_surface_177.jpg,pitted_surface
NEU-DET/train/images/patches/patches_221.jpg,patches
NEU-DET/train/images/scratches/scratches_212.jpg,scratches
NEU-DET/train/images/pitted_surface/pitted_surface_153.jpg,pitted_surface
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_173.jpg,rolled-in_scale
NEU-DET/train/images/patches/patches_129.jpg,patches
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_40.jpg,rolled-in_scale
NEU-DET/train/images/scratches/scratches_174.jpg,scratches
NEU-DET/train/images/crazing/crazing_7.jpg,crazing
NEU-DET/train/images/scratches/scratches_84.jpg,scratches
NEU-DET/train/images/crazing/crazing_184.jpg,crazing
NEU-DET/train/images/crazing/crazing_76.jpg,crazing
NEU-DET/train/images/rolled-in_scale/rolled-in_scale_163.jpg,rolled-in_scale
NEU-DET/train/images/inclusion/inclusion_223.jpg,inclusion
NEU-DET/train/images/crazing/crazing_101.jpg,crazing
NEU-DET/train/images/patches/patches_98.jpg,patches
